Keithley Instruments: Chronopotentiometry

System Parameters
Date/Time,Tue Apr 26 00:41:43 2022
Model,2450
Serial Number,04431893
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0


Measurement Interval:,0.01,s/pt
VRange:,2

Step #1 Settings
Current,1e-06,A
Duration,180,s

Step #1 Quick Stats
17852,points recorded,,0.32611380872,V average
0.14340639114,V minimum,,0.042615912772,V standard deviation
0.33620858192,V median,,180.03346596,s to run experiment
0.37760853767,V maximum

Raw Data

Step #1
Data Pt, Times (s), Current (A), Potential (V)
265,2.66095,1e-06,0.20803642273
266,2.67102,1e-06,0.208070755
267,2.68109,1e-06,0.20824241638
268,2.69116,1e-06,0.20823097229
269,2.70124,1e-06,0.20845985413
270,2.71131,1e-06,0.20841407776
271,2.72141,1e-06,0.20859742165
272,2.73148,1e-06,0.20855164528
273,2.74155,1e-06,0.20881485939
274,2.75163,1e-06,0.20871186256
275,2.76169,1e-06,0.20900940895
276,2.77176,1e-06,0.20887207985
277,2.78183,1e-06,0.2092499733
278,2.7919,1e-06,0.20903253555
279,2.80197,1e-06,0.20943307877
280,2.81205,1e-06,0.20922708511
281,2.82464,1e-06,0.20957040787
282,2.83221,1e-06,0.20939874649
283,2.84227,1e-06,0.20979952812
284,2.85234,1e-06,0.20961642265
285,2.86241,1e-06,0.20999407768
286,2.8725,1e-06,0.20981097221
287,2.88257,1e-06,0.21011996269
288,2.89265,1e-06,0.20999407768
289,2.90273,1e-06,0.2102804184
290,2.91281,1e-06,0.21022319794
291,2.92288,1e-06,0.21046352386
292,2.93295,1e-06,0.21040630341
293,2.94303,1e-06,0.21063518524
294,2.95311,1e-06,0.2105550766
295,2.96318,1e-06,0.21079564095
296,2.97326,1e-06,0.21076130867
297,2.98333,1e-06,0.21099019051
298,2.99341,1e-06,0.21092152596
299,3.00348,1e-06,0.21117329597
300,3.01355,1e-06,0.21111607552
301,3.02363,1e-06,0.21134519577
302,3.0337,1e-06,0.21128797531
303,3.0438,1e-06,0.21148252487
304,3.05387,1e-06,0.21140241623
305,3.06394,1e-06,0.21166563034
306,3.07401,1e-06,0.21159696579
307,3.0841,1e-06,0.21184897423
308,3.09416,1e-06,0.21176862717
309,3.10422,1e-06,0.21200919151
310,3.11431,1e-06,0.21194052696
311,3.12657,1e-06,0.21215796471
312,3.13448,1e-06,0.21208930016
313,3.14453,1e-06,0.2123298645
314,3.1546,1e-06,0.2123067379
315,3.16468,1e-06,0.21251296997
316,3.17474,1e-06,0.21251296997
317,3.18481,1e-06,0.21265029907
318,3.19489,1e-06,0.21271896362
319,3.20496,1e-06,0.21282196045
320,3.21502,1e-06,0.21286773682
321,3.2251,1e-06,0.21297097206
322,3.23518,1e-06,0.21307396889
323,3.24525,1e-06,0.21315407753
324,3.25533,1e-06,0.21324563026
325,3.2654,1e-06,0.21331429482
326,3.27547,1e-06,0.21339440346
327,3.28555,1e-06,0.21347475052
328,3.29562,1e-06,0.21355485916
329,3.3057,1e-06,0.21366930008
330,3.31578,1e-06,0.21373796463
331,3.32585,1e-06,0.21381807327
332,3.33594,1e-06,0.21387529373
333,3.34601,1e-06,0.21400141716
