Keithley Instruments: Chronopotentiometry

System Parameters
Date/Time,Tue Apr 26 01:07:48 2022
Model,2450
Serial Number,04431893
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0


Measurement Interval:,0.01,s/pt
VRange:,2

Step #1 Settings
Current,1e-06,A
Duration,500,s

Step #1 Quick Stats
49606,points recorded,,0.35327284618,V average
-0.11723709106,V minimum,,0.086111879634,V standard deviation
0.38489317894,V median,,500.03347426,s to run experiment
0.41768336296,V maximum

Raw Data

Step #1
Data Pt, Times (s), Current (A), Potential (V)
366,3.67843,1e-06,-0.064190864563
367,3.68853,1e-06,-0.063973426819
368,3.6986,1e-06,-0.064007759094
369,3.70867,1e-06,-0.063767433167
370,3.71876,1e-06,-0.063778877258
371,3.72882,1e-06,-0.063538551331
372,3.73891,1e-06,-0.063618659973
373,3.74896,1e-06,-0.063366413116
374,3.75904,1e-06,-0.0633893013
375,3.76911,1e-06,-0.063148975372
376,3.7792,1e-06,-0.063206195831
377,3.78928,1e-06,-0.062920093536
378,3.79936,1e-06,-0.062965869904
379,3.80942,1e-06,-0.062759876251
380,3.81949,1e-06,-0.062736988068
381,3.82957,1e-06,-0.062565326691
382,3.83964,1e-06,-0.062519550323
383,3.84973,1e-06,-0.062347412109
384,3.85979,1e-06,-0.06229019165
385,3.86986,1e-06,-0.062152862549
386,3.87994,1e-06,-0.062084197998
387,3.89001,1e-06,-0.061981201172
388,3.90009,1e-06,-0.061866760254
389,3.91016,1e-06,-0.061740875244
390,3.92023,1e-06,-0.061683654785
391,3.93032,1e-06,-0.061534881592
392,3.94037,1e-06,-0.061454296112
393,3.95045,1e-06,-0.061305522919
394,3.96052,1e-06,-0.061236858368
395,3.97061,1e-06,-0.061145305634
396,3.98068,1e-06,-0.061088085175
397,3.99076,1e-06,-0.060927867889
398,4.00082,1e-06,-0.060882091522
399,4.01089,1e-06,-0.060733318329
400,4.02097,1e-06,-0.060664653778
401,4.03104,1e-06,-0.060515880585
402,4.04111,1e-06,-0.060492992401
403,4.05118,1e-06,-0.060286521912
404,4.06126,1e-06,-0.060240745544
405,4.07133,1e-06,-0.060137748718
406,4.08141,1e-06,-0.060034751892
407,4.09148,1e-06,-0.059908866882
408,4.10155,1e-06,-0.059817314148
409,4.11163,1e-06,-0.059691429138
410,4.1217,1e-06,-0.059599876404
411,4.13178,1e-06,-0.059496879578
412,4.14184,1e-06,-0.059336185455
413,4.15192,1e-06,-0.059278964996
414,4.16199,1e-06,-0.059130191803
415,4.17207,1e-06,-0.059095859528
416,4.18214,1e-06,-0.058912754059
417,4.19222,1e-06,-0.058866977692
418,4.20229,1e-06,-0.058718204498
419,4.21428,1e-06,-0.058638095856
420,4.22245,1e-06,-0.058477401733
421,4.23252,1e-06,-0.058397293091
422,4.24262,1e-06,-0.058294296265
423,4.25268,1e-06,-0.058248519897
424,4.26276,1e-06,-0.058111190796
425,4.27283,1e-06,-0.058031082153
426,4.28291,1e-06,-0.057847976685
427,4.29298,1e-06,-0.057836532593
428,4.30304,1e-06,-0.057676315308
429,4.31312,1e-06,-0.057607650757
430,4.3232,1e-06,-0.057412624359
431,4.33327,1e-06,-0.057412624359
432,4.34336,1e-06,-0.057218074799
433,4.35341,1e-06,-0.057172298431
434,4.36348,1e-06,-0.057023525238
435,4.37355,1e-06,-0.056977748871
436,4.38362,1e-06,-0.056794643402
437,4.3937,1e-06,-0.056760311127
438,4.40384,1e-06,-0.056600093842
439,4.41384,1e-06,-0.056531429291
440,4.42391,1e-06,-0.056359291077
441,4.43397,1e-06,-0.056336402893
442,4.44405,1e-06,-0.056141853333
443,4.45415,1e-06,-0.056130409241
444,4.4642,1e-06,-0.055901527405
445,4.47427,1e-06,-0.055890083313
446,4.48435,1e-06,-0.055695533752
447,4.49443,1e-06,-0.055649757385
448,4.50449,1e-06,-0.055489063263
449,4.51463,1e-06,-0.055431842804
450,4.52466,1e-06,-0.05534029007
451,4.53474,1e-06,-0.055248737335
452,4.54482,1e-06,-0.055122852325
453,4.55494,1e-06,-0.055031299591
454,4.565,1e-06,-0.05489397049
455,4.57508,1e-06,-0.054825305939
456,4.58514,1e-06,-0.054687976837
457,4.59524,1e-06,-0.054584980011
458,4.60532,1e-06,-0.05443572998
459,4.61539,1e-06,-0.054389953613
460,4.62545,1e-06,-0.054183959961
461,4.63551,1e-06,-0.054195404053
462,4.64558,1e-06,-0.053966522217
463,4.65566,1e-06,-0.054000854492
464,4.66835,1e-06,-0.053680419922
465,4.67586,1e-06,-0.053840637207
466,4.68592,1e-06,-0.053428173065
467,4.696,1e-06,-0.053611755371
468,4.70607,1e-06,-0.053222179413
469,4.71615,1e-06,-0.053370952606
470,4.72623,1e-06,-0.053027629852
471,4.73629,1e-06,-0.053164958954
472,4.74638,1e-06,-0.052787303925
473,4.75644,1e-06,-0.05294752121
474,4.76651,1e-06,-0.052581310272
475,4.7766,1e-06,-0.052684307098
476,4.78669,1e-06,-0.052397727966
477,4.79675,1e-06,-0.052454948425
478,4.80684,1e-06,-0.052191734314
479,4.81692,1e-06,-0.052271842957
480,4.82698,1e-06,-0.05197429657
481,4.83706,1e-06,-0.052008628845
482,4.84713,1e-06,-0.051745414734
483,4.8572,1e-06,-0.051791191101
